"sl_no","gender","ssc_p","hsc_p","hsc_s","degree_p","degree_t","workex","etest_p","status","salary"
"1","M","67.00","91.00","Commerce","58.00","Sci&Tech","No","55","Placed","270000"
"2","M","79.33","78.33","Science","77.48","Sci&Tech","Yes","86.5","Placed","200000"
"3","M","65.00","68.00","Arts","64.00","Comm&Mgmt","No","75","Placed","250000"
"4","M","56.00","52.00","Science","52.00","Sci&Tech","No","66","Not Placed","0"
"5","M","85.80","73.60","Commerce","73.30","Comm&Mgmt","No","96.8","Placed","425000"
"6","M","55.00","49.80","Science","67.25","Sci&Tech","Yes","55","Not Placed","0"
"7","F","46.00","49.20","Commerce","79.00","Comm&Mgmt","No","74.28","Not Placed","0"
"8","M","82.00","64.00","Science","66.00","Sci&Tech","Yes","67","Placed","252000"
"9","M","73.00","79.00","Commerce","72.00","Comm&Mgmt","No","91.34","Placed","231000"
"10","M","58.00","70.00","Commerce","61.00","Comm&Mgmt","No","54","Not Placed","0"
"11","M","58.00","61.00","Commerce","60.00","Comm&Mgmt","Yes","62","Placed","260000"
"12","M","69.60","68.40","Commerce","78.30","Comm&Mgmt","Yes","60","Placed","250000"
"13","F","47.00","55.00","Science","65.00","Comm&Mgmt","No","62","Not Placed","0"
"14","F","77.00","87.00","Commerce","59.00","Comm&Mgmt","No","68","Placed","0"
"15","M","62.00","47.00","Commerce","50.00","Comm&Mgmt","No","76","Not Placed","0"
"16","F","65.00","75.00","Commerce","69.00","Comm&Mgmt","Yes","72","Placed","200000"
"17","M","63.00","66.20","Commerce","65.60","Comm&Mgmt","Yes","60","Placed","300000"
"18","F","55.00","67.00","Commerce","64.00","Comm&Mgmt","No","60","Not Placed","0"
"19","F","63.00","66.00","Commerce","64.00","Comm&Mgmt","No","68","Not Placed","0"
"20","M","60.00","67.00","Arts","70.00","Comm&Mgmt","Yes","50.48","Placed","236000"
"21","M","62.00","65.00","Commerce","66.00","Comm&Mgmt","No","50","Placed","265000"
"22","F","79.00","76.00","Commerce","85.00","Comm&Mgmt","No","95","Placed","393000"
"23","F","69.80","60.80","Science","72.23","Sci&Tech","No","55.53","Placed","360000"
"24","F","77.40","60.00","Science","64.74","Sci&Tech","Yes","92","Placed","300000"
"25","M","76.50","97.70","Science","78.86","Sci&Tech","No","97.4","Placed","360000"
"26","F","52.58","54.60","Commerce","50.20","Comm&Mgmt","Yes","76","Not Placed","0"
"27","M","71.00","79.00","Commerce","66.00","Comm&Mgmt","Yes","94","Placed","240000"
"28","M","63.00","67.00","Commerce","66.00","Comm&Mgmt","No","68","Placed","265000"
"29","M","76.76","76.50","Commerce","67.50","Comm&Mgmt","Yes","73.35","Placed","350000"
"30","M","62.00","67.00","Commerce","58.00","Comm&Mgmt","No","77","Not Placed","0"
"31","F","64.00","73.50","Commerce","73.00","Comm&Mgmt","No","52","Placed","250000"
"32","F","67.00","53.00","Science","65.00","Sci&Tech","No","64","Not Placed","0"
"33","F","61.00","81.00","Commerce","66.40","Comm&Mgmt","No","50.89","Placed","278000"
"34","F","87.00","65.00","Science","81.00","Comm&Mgmt","Yes","88","Placed","260000"
"35","M","62.00","51.00","Science","52.00","Others","No","68.44","Not Placed","0"
"36","F","69.00","78.00","Commerce","72.00","Comm&Mgmt","No","71","Placed","300000"
"37","M","51.00","44.00","Commerce","57.00","Comm&Mgmt","No","64","Not Placed","0"
"38","F","79.00","76.00","Science","65.60","Sci&Tech","No","58","Placed","320000"
"39","F","73.00","58.00","Science","66.00","Comm&Mgmt","No","53.7","Placed","240000"
"40","M","81.00","68.00","Science","64.00","Sci&Tech","No","93","Placed","411000"
"41","F","78.00","77.00","Commerce","80.00","Comm&Mgmt","No","60","Placed","287000"
"42","F","74.00","63.16","Commerce","65.00","Comm&Mgmt","Yes","65","Not Placed","0"
"43","M","49.00","39.00","Science","65.00","Others","No","63","Not Placed","0"
"44","M","87.00","87.00","Commerce","68.00","Comm&Mgmt","No","95","Placed","300000"
"45","F","77.00","73.00","Commerce","81.00","Comm&Mgmt","Yes","89","Placed","200000"
"46","F","76.00","64.00","Science","72.00","Sci&Tech","No","58","Not Placed","0"
"47","F","70.89","71.98","Science","65.60","Comm&Mgmt","No","68","Not Placed","0"
"48","M","63.00","60.00","Commerce","57.00","Comm&Mgmt","Yes","78","Placed","204000"
"49","M","63.00","62.00","Commerce","68.00","Comm&Mgmt","No","64","Placed","250000"
"50","F","50.00","37.00","Arts","52.00","Others","No","65","Not Placed","0"
"51","F","75.20","73.20","Science","68.40","Comm&Mgmt","No","65","Placed","200000"
"52","M","54.40","61.12","Commerce","56.20","Comm&Mgmt","No","67","Not Placed","0"
"53","F","40.89","45.83","Commerce","53.00","Comm&Mgmt","No","71.2","Not Placed","0"
"54","M","80.00","70.00","Science","72.00","Sci&Tech","No","87","Placed","450000"
"55","F","74.00","60.00","Science","69.00","Comm&Mgmt","No","78","Placed","216000"
